id,member_id,emp_length,policy_code,loan_status
1064051,1296635,11,1,2
1063847,1296419,5,1,2
1062833,1294709,3,1,2
1062032,1293876,5,1,2
1063843,1282549,4,1,2
1063828,1296397,11,1,2
1064006,1296581,11,1,2
1063729,1296299,11,1,0
1062625,1294499,11,1,2
1062070,1294119,7,1,2
1063964,1296535,11,1,2
1063804,1296372,11,1,2
1063751,1296522,5,1,1
1063982,1296554,2,1,2
1063972,1296543,9,1,2
1063785,1296352,7,1,2
1063788,1296355,9,1,1
1063485,1296051,6,1,2
1063781,1296348,11,1,1
1057766,1289131,11,1,2
1063778,1296342,1,1,1
1062818,1294695,3,1,2
1042037,1272109,4,1,2
1063518,1296086,7,1,2
1063515,1296083,0,1,2
1063524,943135,4,1,2
1063519,1296087,11,1,2
1063521,1288586,11,1,2
984879,1208718,2,1,2
1063509,1296075,11,1,2
1063693,1296259,8,1,1
1063700,1296266,11,1,2
1056934,1288490,8,1,2
1063246,1295751,1,1,2
1057424,1288982,1,1,1
1063680,1296245,2,1,2
1063679,1296244,11,1,2
1063034,1295527,4,1,2
1063448,1296012,11,1,1
1063431,1295991,11,1,0
1060804,1292769,4,1,2
1027771,1257143,2,1,2
1063653,1296216,11,1,0
1063421,1295979,1,1,1
1062855,1295334,2,1,2
1062490,1294556,5,1,2
1063626,1296185,11,1,0
1063407,1295960,3,1,2
1063609,1296167,11,1,2
1063602,1296158,0,1,0
1063393,1295948,3,1,1
1063388,1295942,4,1,2
1063582,1296138,2,1,2
988402,1212630,11,1,2
1063564,1296115,11,1,2
1063121,1295626,5,1,2
1063275,1295786,2,1,2
1057756,1289523,11,1,2
1059960,1291803,2,1,2
1059525,1291351,0,1,1
1062577,1294447,7,1,2
1053188,1284748,2,1,2
1063098,1295599,9,1,2
1063238,1295743,8,1,2
1062043,1293888,3,1,2
1063228,1295731,4,1,2
1039993,1269948,11,1,0
1063197,1295491,6,1,2
1063069,1295567,5,1,1
1063062,1295557,11,1,2
1063199,1295495,0,1,2
1063187,1295480,6,1,2
1063040,1295533,0,1,2
1063020,1295111,3,1,2
1062929,1295416,3,1,2
1063003,1295092,3,1,2
1063001,1295090,5,1,2
1062997,1295086,11,1,1
1061315,1293329,3,1,2
1062808,1294683,6,1,2
1062918,1295405,6,1,1
1062983,1295070,11,1,2
1061530,1293535,1,1,2
1035958,1265811,7,1,2
1062894,1295377,11,1,2
1062895,1295378,8,1,2
1062976,1295062,11,1,1
1061972,1293809,11,1,2
1062897,1295380,0,1,1
1062857,1295337,11,1,2
1059828,1291460,11,1,2
1059486,1291111,6,1,1
1062887,1295369,7,1,2
1062851,1295329,1,1,1
1062756,1271501,11,1,0
1062844,1295322,11,1,1
1062753,1295039,2,1,2
1062873,1295353,8,1,2
1062860,1295340,3,1,2
1062738,1295022,8,1,2
1062864,1295344,5,1,1
1062734,1295018,3,1,1
1052370,1283491,3,1,2
1058564,1290157,6,1,2
1062584,1294454,4,1,2
1062253,1294110,2,1,2
1062795,1294669,0,1,2
1062614,1294487,11,1,2
1061378,1293165,9,1,2
1062781,1294654,0,1,2
1023158,1252167,3,1,2
1062654,1294929,4,1,2
1062665,1280475,5,1,2
1062555,1294623,2,1,1
1062606,1294478,4,1,1
1062643,1294917,0,1,2
1062535,1294602,0,1,2
1062536,1294599,11,1,1
765927,966880,2,1,2
1031451,1260896,11,1,2
1062612,1294485,2,1,0
1062510,1294575,1,1,2
1062508,1294574,3,1,0
1036838,1266720,0,1,1
1062478,1294543,8,1,1
1055974,1287544,6,1,2
1062462,1294525,2,1,2
1062458,1294524,11,1,2
1062454,1294520,11,1,1
1060762,1292723,8,1,2
1062564,1294433,11,1,2
1061570,1293579,2,1,2
1062418,1294281,3,1,2
1062413,1294276,9,1,2
1062330,1294396,4,1,1
1062414,1294277,6,1,1
1060966,1292541,11,1,2
1062401,1294263,6,1,1
1057454,1289015,0,1,2
1062179,1294029,4,1,2
